id,Region,Country,Category,Subcategory,Global_Brand_Owner,pct_2015,pct_2016,pct_2017,Unit2015,Unit2016,Unit2017,Growth_pct_2015_2016,Growth_pct_2016_2017
FEC8C852,WE,France,Footwear,Men's Footwear,adidas Group,9.9,11,12.1,300.7,331,373.3,10.4,10.9,,
40210919,WE,France,Footwear,Men's Footwear,Nike Inc,8.7,9.1,9.2,263.8,272.1,282.4,3.4,2,,
94DB80C1,WE,France,Footwear,Men's Footwear,Asics Corp,2.7,2.9,3.3,80.8,88.4,99.9,9.7,11.1,,
830C2F41,WE,France,Footwear,Men's Footwear,Inditex, Industria de Diseño Textil SA,1.5,1.5,1.5,45.9,46.2,47.5,0.8,1.1,,
E21A6161,WE,France,Footwear,Men's Footwear,Mizuno Corp,0.8,0.8,0.9,23.6,25.2,27.2,6.9,6,,
511FCFB9,WE,France,Footwear,Men's Footwear,New Balance Athletic Shoe Inc,0.7,0.8,0.9,22.3,24,26.2,8.2,7.2,,
21DF9D4E,WE,France,Footwear,Men's Footwear,H&M Hennes & Mauritz AB,0.5,0.5,0.6,15,15.9,17.4,6.7,7.3,,
BFBF85DE,WE,France,Footwear,Men's Footwear,Deckers Outdoor Corp,0.3,0.3,0.3,8.3,8.4,8.6,0.9,1.2,,
6F47B251,WE,France,Footwear,Men's Footwear,Gap Inc, The,0.2,0.2,0.2,5.4,5.2,5,-3.1,-4.9,,
285867B4,WE,France,Footwear,Men's Footwear,Columbia Sportswear Co,0.1,0.1,0.1,4.1,4.2,4.4,2.4,2.3,,
6348C1F9,WE,France,Footwear,Men's Footwear,Skechers USA Inc,0.1,0.1,0.1,3.6,3.9,4.3,8.4,8.6,,
D8FC57B5,WE,France,Footwear,Men's Footwear,Lacoste SA,0,0,0,0,0,0,0,0,,
D134BC89,WE,France,Footwear,Women's Footwear,Nike Inc,5.1,5.5,5.8,213.4,226.8,238.5,6.6,3.3,,
E2F9AF44,WE,France,Footwear,Women's Footwear,adidas Group,3.6,4,4.5,150.6,164,183.4,9.2,9.9,,
E2FA34A3,WE,France,Footwear,Women's Footwear,Asics Corp,2,2.2,2.6,84,92.1,105,10,12,,
99192B87,WE,France,Footwear,Women's Footwear,Inditex, Industria de Diseño Textil SA,2,2,2.1,82.7,83.3,87.7,0.9,3.5,,
7760E5CD,WE,France,Footwear,Women's Footwear,H&M Hennes & Mauritz AB,0.5,0.6,0.6,20.5,22.7,25.3,11,9.5,,
